Reserve	Ecosystem	ID_Number	SampleID	Date_sampled	Litter_type	plot_cordsX	plot_cordsY	Elevation	Litter_species	Litter_species_common_name	pH	Plant_family	Plant_type
James San Jacinto Mountains Reserve	Montane	24	24D2	2021-11-30	Dominant Vegetation	"33¼48'38.08""N"	"116¼46'27.15""W"	1652	Pinus ponderosa		6.01	Pinaceae	Pine
James San Jacinto Mountains Reserve	Montane	24	24D3	2021-11-30	Dominant Vegetation	"33¼48'38.08""N"	"116¼46'27.15""W"	1652	Pinus ponderosa		6.01	Pinaceae	Pine
James San Jacinto Mountains Reserve	Montane	24	24D4	2021-11-30	Dominant Vegetation	"33¼48'38.08""N"	"116¼46'27.15""W"	1652	Pinus ponderosa		5.99	Pinaceae	Pine
Emerson Oaks Reserve	Oak Woodland	23	23G1	2021-11-30	Grass	"33¼28'6.83""N"	"117¼2'32.90""W"	452	"Bromus diandrus, Schismus barbatus, Avena barbata"		6.39	Poaceae	Grass
Emerson Oaks Reserve	Oak Woodland	23	23G2	2021-11-30	Grass	"33¼28'6.83""N"	"117¼2'32.90""W"	452	"Bromus diandrus, Schismus barbatus, Avena barbata"		6.5	Poaceae	Grass
Emerson Oaks Reserve	Oak Woodland	23	23G3	2021-11-30	Grass	"33¼28'6.83""N"	"117¼2'32.90""W"	452	"Bromus diandrus, Schismus barbatus, Avena barbata"		6.29	Poaceae	Grass
Emerson Oaks Reserve	Oak Woodland	23	23G4	2021-11-30	Grass	"33¼28'6.83""N"	"117¼2'32.90""W"	452	"Bromus diandrus, Schismus barbatus, Avena barbata"		6.46	Poaceae	Grass
Emerson Oaks Reserve	Oak Woodland	23	23D1	2021-11-30	Dominant Vegetation	"33¼28'8.90""N"	"117¼2'36.92""W"	452	Quercus berberidifolia		6.14	Fagaceae	Tree/shrub
Emerson Oaks Reserve	Oak Woodland	23	23D2	2021-11-30	Dominant Vegetation	"33¼28'8.90""N"	"117¼2'36.92""W"	452	Quercus berberidifolia		6.32	Fagaceae	Tree/shrub
Emerson Oaks Reserve	Oak Woodland	23	23D3	2021-11-30	Dominant Vegetation	"33¼28'8.90""N"	"117¼2'36.92""W"	452	Quercus berberidifolia		6.46	Fagaceae	Tree/shrub
Emerson Oaks Reserve	Oak Woodland	23	23D4	2021-11-30	Dominant Vegetation	"33¼28'8.90""N"	"117¼2'36.92""W"	452	Quercus berberidifolia		6.35	Fagaceae	Tree/shrub
Motte Rimrock Reserve	Chaparral	25	25G1	2021-11-30	Grass	"33¼48'8.64""N"	"117¼15'37.33""W"	546	Schismus arabicus		6.43	Poaceae	Grass
Motte Rimrock Reserve	Chaparral	25	25G2	2021-11-30	Grass	"33¼48'8.64""N"	"117¼15'37.33""W"	546	Schismus arabicus		6.46	Poaceae	Grass
Motte Rimrock Reserve	Chaparral	25	25G3	2021-11-30	Grass	"33¼48'8.64""N"	"117¼15'37.33""W"	546	Schismus arabicus		6.41	Poaceae	Grass
Motte Rimrock Reserve	Chaparral	25	25G4	2021-11-30	Grass	"33¼48'8.64""N"	"117¼15'37.33""W"	546	Schismus arabicus		6.46	Poaceae	Grass
Motte Rimrock Reserve	Chaparral	25	25D1	2021-11-30	Dominant Vegetation	"33¼48'4.91""N"	"117¼15'34.63""W"	543	Salix exigua		6.25	Salicaceae	Tree/shrub
Motte Rimrock Reserve	Chaparral	25	25D2	2021-11-30	Dominant Vegetation	"33¼48'4.91""N"	"117¼15'34.63""W"	543	Salix exigua		6.2	Salicaceae	Tree/shrub
Motte Rimrock Reserve	Chaparral	25	25D3	2021-11-30	Dominant Vegetation	"33¼48'4.91""N"	"117¼15'34.63""W"	543	Salix exigua		6.18	Salicaceae	Tree/shrub
Motte Rimrock Reserve	Chaparral	25	25D4	2021-11-30	Dominant Vegetation	"33¼48'4.91""N"	"117¼15'34.63""W"	543	Salix exigua		6.26	Salicaceae	Tree/shrub
Steele/Burnand Anza-Borrego Desert Research Center	Desert	16	16G1	2022-02-08	Grass	"33¼14'24.09""N"	"116¼23'23.34""W"	210	Schismus barbatus		4.25	Poaceae	Grass
Steele/Burnand Anza-Borrego Desert Research Center	Desert	16	16G2	2022-02-08	Grass	"33¼14'24.09""N"	"116¼23'23.34""W"	210	Schismus barbatus		3.93	Poaceae	Grass
Steele/Burnand Anza-Borrego Desert Research Center	Desert	16	16G3	2022-02-08	Grass	"33¼14'24.09""N"	"116¼23'23.34""W"	210	Schismus barbatus		4.37	Poaceae	Grass
Steele/Burnand Anza-Borrego Desert Research Center	Desert	16	16G4	2022-02-08	Grass	"33¼14'24.09""N"	"116¼23'23.34""W"	210	Schismus barbatus		4.33	Poaceae	Grass
Steele/Burnand Anza-Borrego Desert Research Center	Desert	16	16D1	2022-02-08	Dominant Vegetation	"33¼14'23.35""N"	"116¼23'27.20""W"	212	Larrea tridentata	Creosote bush	4.98	Zygophyllaceae	Shrub
Steele/Burnand Anza-Borrego Desert Research Center	Desert	16	16D2	2022-02-08	Dominant Vegetation	"33¼14'23.35""N"	"116¼23'27.20""W"	212	Larrea tridentata	Creosote bush	4.7	Zygophyllaceae	Shrub
Steele/Burnand Anza-Borrego Desert Research Center	Desert	16	16D3	2022-02-08	Dominant Vegetation	"33¼14'23.35""N"	"116¼23'27.20""W"	212	Larrea tridentata	Creosote bush	4.61	Zygophyllaceae	Shrub
Steele/Burnand Anza-Borrego Desert Research Center	Desert	16	16D4	2022-02-08	Dominant Vegetation	"33¼14'23.35""N"	"116¼23'27.20""W"	212	Larrea tridentata	Creosote bush	4.32	Zygophyllaceae	Shrub
Sweeney Granite Mountains Desert Research Center	Desert	26	26G1	2022-02-15	Grass	"34¼46'58.54""N"	"115¼39'3.85""W"	1298	"Schismus barbatus, Bromus rubens"		3.75	Poaceae	Grass
Sweeney Granite Mountains Desert Research Center	Desert	26	26G2	2022-02-15	Grass	"34¼46'58.54""N"	"115¼39'3.85""W"	1298	"Schismus barbatus, Bromus rubens"		3.78	Poaceae	Grass
Sweeney Granite Mountains Desert Research Center	Desert	26	26G3	2022-02-15	Grass	"34¼46'58.54""N"	"115¼39'3.85""W"	1298	"Schismus barbatus, Bromus rubens"		3.73	Poaceae	Grass
Sweeney Granite Mountains Desert Research Center	Desert	26	26G4	2022-02-15	Grass	"34¼46'58.54""N"	"115¼39'3.85""W"	1298	"Schismus barbatus, Bromus rubens"		3.61	Poaceae	Grass
Sweeney Granite Mountains Desert Research Center	Desert	26	26D1	2022-02-15	Dominant Vegetation	"34¼46'57.41""N"	"115¼39'7.11""W"	1302	Larrea tridentata	Creosote bush	4.6	Zygophyllaceae	Shrub
Sweeney Granite Mountains Desert Research Center	Desert	26	26D2	2022-02-15	Dominant Vegetation	"34¼46'57.41""N"	"115¼39'7.11""W"	1302	Larrea tridentata	Creosote bush	4.85	Zygophyllaceae	Shrub
Sweeney Granite Mountains Desert Research Center	Desert	26	26D3	2022-02-15	Dominant Vegetation	"34¼46'57.41""N"	"115¼39'7.11""W"	1302	Larrea tridentata	Creosote bush	4.83	Zygophyllaceae	Shrub
Sweeney Granite Mountains Desert Research Center	Desert	26	26D4	2022-02-15	Dominant Vegetation	"34¼46'57.41""N"	"115¼39'7.11""W"	1302	Larrea tridentata	Creosote bush	4.58	Zygophyllaceae	Shrub
Coal Oil Point Natural Reserve	Coastal Marine	32	32G1	2022-03-07	Grass	"34¼25'0.15""N"	"119¼52'44.91""W"	19	"Stipa pulchra, Phalaris aquatica, Elymus triticoides"		5.12	Poaceae	Grass
Coal Oil Point Natural Reserve	Coastal Marine	32	32G2	2022-03-07	Grass	"34¼25'0.15""N"	"119¼52'44.91""W"	19	"Stipa pulchra, Phalaris aquatica, Elymus triticoides"		5.18	Poaceae	Grass
Coal Oil Point Natural Reserve	Coastal Marine	32	32G3	2022-03-07	Grass	"34¼25'0.15""N"	"119¼52'44.91""W"	19	"Stipa pulchra, Phalaris aquatica, Elymus triticoides"		5.63	Poaceae	Grass
Coal Oil Point Natural Reserve	Coastal Marine	32	32G4	2022-03-07	Grass	"34¼25'0.15""N"	"119¼52'44.91""W"	19	"Stipa pulchra, Phalaris aquatica, Elymus triticoides"		5.58	Poaceae	Grass
Coal Oil Point Natural Reserve	Coastal Marine	32	32D1	2022-03-07	Dominant Vegetation	"34¼25'0.86""N"	"119¼52'51.20""W"	24	Artemisa californica		6.44	Asteraceae	Shrub
Coal Oil Point Natural Reserve	Coastal Marine	32	32D2	2022-03-07	Dominant Vegetation	"34¼25'0.86""N"	"119¼52'51.20""W"	24	Artemisa californica		6.1	Asteraceae	Shrub
Coal Oil Point Natural Reserve	Coastal Marine	32	32D3	2022-03-07	Dominant Vegetation	"34¼25'0.86""N"	"119¼52'51.20""W"	24	Artemisa californica		6.08	Asteraceae	Shrub
Coal Oil Point Natural Reserve	Coastal Marine	32	32D4	2022-03-07	Dominant Vegetation	"34¼25'0.86""N"	"119¼52'51.20""W"	24	Artemisa californica		6.26	Asteraceae	Shrub
Kenneth S. Norris Rancho Marino Reserve	Coastal Marine	33	33G1	2022-03-08	Grass	"35¼32'11.13""N"	"121¼5'1.06""W"	42	Bromus carinatus		5.06	Poaceae	Grass
Kenneth S. Norris Rancho Marino Reserve	Coastal Marine	33	33G2	2022-03-08	Grass	"35¼32'11.13""N"	"121¼5'1.06""W"	42	Bromus carinatus		5.06	Poaceae	Grass
Kenneth S. Norris Rancho Marino Reserve	Coastal Marine	33	33G3	2022-03-08	Grass	"35¼32'11.13""N"	"121¼5'1.06""W"	42	Bromus carinatus		5.15	Poaceae	Grass
Kenneth S. Norris Rancho Marino Reserve	Coastal Marine	33	33G4	2022-03-08	Grass	"35¼32'11.13""N"	"121¼5'1.06""W"	42	Bromus carinatus		4.92	Poaceae	Grass
Kenneth S. Norris Rancho Marino Reserve	Coastal Marine	33	33D1	2022-03-08	Dominant Vegetation	"35¼32'14.42""N"	"121¼5'2.14""W"	54	Pinus radiata	Monterrey pine	4.8	Pinaceae	Pine
Kenneth S. Norris Rancho Marino Reserve	Coastal Marine	33	33D2	2022-03-08	Dominant Vegetation	"35¼32'14.42""N"	"121¼5'2.14""W"	54	Pinus radiata	Monterrey pine	4.95	Pinaceae	Pine
Kenneth S. Norris Rancho Marino Reserve	Coastal Marine	33	33D3	2022-03-08	Dominant Vegetation	"35¼32'14.42""N"	"121¼5'2.14""W"	54	Pinus radiata	Monterrey pine	4.88	Pinaceae	Pine
Kenneth S. Norris Rancho Marino Reserve	Coastal Marine	33	33D4	2022-03-08	Dominant Vegetation	"35¼32'14.42""N"	"121¼5'2.14""W"	54	Pinus radiata	Monterrey pine	5.51	Pinaceae	Pine
Sedgwick Reserve	Oak Woodland	35	35G1	2022-03-08	Grass	"34¼41'35.79""N"	"120¼2'51.80""W"	337	Stipa pulchra	Purple needle grass	4.5	Poaceae	Grass
Sedgwick Reserve	Oak Woodland	35	35G2	2022-03-08	Grass	"34¼41'35.79""N"	"120¼2'51.80""W"	337	Stipa pulchra	Purple needle grass	5.05	Poaceae	Grass
Sedgwick Reserve	Oak Woodland	35	35G3	2022-03-08	Grass	"34¼41'35.79""N"	"120¼2'51.80""W"	337	Stipa pulchra	Purple needle grass	4.61	Poaceae	Grass
Sedgwick Reserve	Oak Woodland	35	35G4	2022-03-08	Grass	"34¼41'35.79""N"	"120¼2'51.80""W"	337	Stipa pulchra	Purple needle grass	5.24	Poaceae	Grass
Sedgwick Reserve	Oak Woodland	35	35D1	2022-03-08	Dominant Vegetation	"34¼41'34.16""N"	"120¼2'52.74""W"	356	Quercus douglasii	Blue oak	5.41	Fagaceae	Tree
Sedgwick Reserve	Oak Woodland	35	35D2	2022-03-08	Dominant Vegetation	"34¼41'34.16""N"	"120¼2'52.74""W"	356	Quercus douglasii	Blue oak	4.42	Fagaceae	Tree
Sedgwick Reserve	Oak Woodland	35	35D3	2022-03-08	Dominant Vegetation	"34¼41'34.16""N"	"120¼2'52.74""W"	356	Quercus douglasii	Blue oak	4.91	Fagaceae	Tree
Sedgwick Reserve	Oak Woodland	35	35D4	2022-03-08	Dominant Vegetation	"34¼41'34.16""N"	"120¼2'52.74""W"	356	Quercus douglasii	Blue oak	4.57	Fagaceae	Tree
Landels-Hill Big Creek Reserve	Coastal Marine	40	40G1	2022-05-02	Grass	"36¼4'16.25""N"	"121¼35'35.19""W"	292	Avena barbata		6.12	Poaceae	Grass
Landels-Hill Big Creek Reserve	Coastal Marine	40	40G2	2022-05-02	Grass	"36¼4'16.25""N"	"121¼35'35.19""W"	293	Avena barbata		5.39	Poaceae	Grass
Landels-Hill Big Creek Reserve	Coastal Marine	40	40G3	2022-05-02	Grass	"36¼4'16.25""N"	"121¼35'35.19""W"	294	Avena barbata		4.73	Poaceae	Grass
Landels-Hill Big Creek Reserve	Coastal Marine	40	40G4	2022-05-02	Grass	"36¼4'16.25""N"	"121¼35'35.19""W"	295	Avena barbata		5.43	Poaceae	Grass
Landels-Hill Big Creek Reserve	Coastal Marine	40	40D1	2022-05-02	Dominant Vegetation	"36¼3'27.8""N"	"121¼35'10.89""W"	173	Baccharis pilularis	Coyote Brush	6.06	Asteraceae	Shrub
Landels-Hill Big Creek Reserve	Coastal Marine	40	40D2	2022-05-02	Dominant Vegetation	"36¼3'27.8""N"	"121¼35'10.89""W"	173	Baccharis pilularis	Coyote Brush	6.17	Asteraceae	Shrub
Landels-Hill Big Creek Reserve	Coastal Marine	40	40D3	2022-05-02	Dominant Vegetation	"36¼3'27.8""N"	"121¼35'10.89""W"	173	Baccharis pilularis	Coyote Brush	6.16	Asteraceae	Shrub
Landels-Hill Big Creek Reserve	Coastal Marine	40	40D4	2022-05-02	Dominant Vegetation	"36¼3'27.8""N"	"121¼35'10.89""W"	173	Baccharis pilularis	Coyote Brush	6.04	Asteraceae	Shrub
Fort Ord Natural Reserve	Chaparral	39	39G1	2022-05-02	Grass	"36¼41'8.06""N"	"121¼46'37.39""W"	34	"Bromus diandrus, Briza maxima, Avena barbata"		5.58	Poaceae	Grass
Fort Ord Natural Reserve	Chaparral	39	39G2	2022-05-02	Grass	"36¼41'8.06""N"	"121¼46'37.39""W"	34	"Bromus diandrus, Briza maxima, Avena barbata"		5.79	Poaceae	Grass
Fort Ord Natural Reserve	Chaparral	39	39G3	2022-05-02	Grass	"36¼41'8.06""N"	"121¼46'37.39""W"	34	"Bromus diandrus, Briza maxima, Avena barbata"		5.37	Poaceae	Grass
Fort Ord Natural Reserve	Chaparral	39	39G4	2022-05-02	Grass	"36¼41'8.06""N"	"121¼46'37.39""W"	34	"Bromus diandrus, Briza maxima, Avena barbata"		5.84	Poaceae	Grass
Fort Ord Natural Reserve	Chaparral	39	39D1	2022-05-02	Dominant Vegetation	"36¼41'6.05""N"	"121¼46'43.37""W"	46	Arctostaphylos pumila	Sandmat manzanita	4.88	Ericaceae	Shrub
Fort Ord Natural Reserve	Chaparral	39	39D2	2022-05-02	Dominant Vegetation	"36¼41'6.05""N"	"121¼46'43.37""W"	46	Arctostaphylos pumila	Sandmat manzanita	5.42	Ericaceae	Shrub
Fort Ord Natural Reserve	Chaparral	39	39D3	2022-05-02	Dominant Vegetation	"36¼41'6.05""N"	"121¼46'43.37""W"	46	Arctostaphylos pumila	Sandmat manzanita	5.33	Ericaceae	Shrub
Fort Ord Natural Reserve	Chaparral	39	39D4	2022-05-02	Dominant Vegetation	"36¼41'6.05""N"	"121¼46'43.37""W"	46	Arctostaphylos pumila	Sandmat manzanita	4.55	Ericaceae	Shrub
Hastings Natural History Reservation	Oak Woodland	04	04G1	2022-05-03	Grass	"36¼23'2.91""N"	"121¼33'15.71""W"	530	"Bromus diandrus, Avena barbata"		5.53	Poaceae	Grass
Hastings Natural History Reservation	Oak Woodland	04	04G2	2022-05-03	Grass	"36¼23'2.91""N"	"121¼33'15.71""W"	530	"Bromus diandrus, Avena barbata"		6.02	Poaceae	Grass
Hastings Natural History Reservation	Oak Woodland	04	04G3	2022-05-03	Grass	"36¼23'2.91""N"	"121¼33'15.71""W"	530	"Bromus diandrus, Avena barbata"		5.61	Poaceae	Grass
Hastings Natural History Reservation	Oak Woodland	04	04G4	2022-05-03	Grass	"36¼23'2.91""N"	"121¼33'15.71""W"	530	"Bromus diandrus, Avena barbata"		5.01	Poaceae	Grass
Hastings Natural History Reservation	Oak Woodland	04	04D1	2022-05-03	Dominant Vegetation	"36¼23'1.54""N"	"121¼33'14.4""W"	543	"Quercus douglasii, Quercus lobata, Quercus kelloggii"		5.93	Fagaceae	Tree
Hastings Natural History Reservation	Oak Woodland	04	04D2	2022-05-03	Dominant Vegetation	"36¼23'1.54""N"	"121¼33'14.4""W"	543	"Quercus douglasii, Quercus lobata, Quercus kelloggii"		5.33	Fagaceae	Tree
Hastings Natural History Reservation	Oak Woodland	04	04D3	2022-05-03	Dominant Vegetation	"36¼23'1.54""N"	"121¼33'14.4""W"	543	"Quercus douglasii, Quercus lobata, Quercus kelloggii"		5.18	Fagaceae	Tree
Hastings Natural History Reservation	Oak Woodland	04	04D4	2022-05-03	Dominant Vegetation	"36¼23'1.54""N"	"121¼33'14.4""W"	543	"Quercus douglasii, Quercus lobata, Quercus kelloggii"		5.2	Fagaceae	Tree
Younger Lagoon Reserve	Coastal Marine	41	41G1	2022-05-03	Grass	"36¼57'7.41""N"	"122¼4'1.86""W"	12	"Briza maxima, Avena barbta, Bromus diandrus, Stipa pulchra"		5.54	Poaceae	Grass
Younger Lagoon Reserve	Coastal Marine	41	41G2	2022-05-03	Grass	"36¼57'7.41""N"	"122¼4'1.86""W"	12	"Briza maxima, Avena barbta, Bromus diandrus, Stipa pulchra"		6.29	Poaceae	Grass
Younger Lagoon Reserve	Coastal Marine	41	41G3	2022-05-03	Grass	"36¼57'7.41""N"	"122¼4'1.86""W"	12	"Briza maxima, Avena barbta, Bromus diandrus, Stipa pulchra"		5.6	Poaceae	Grass
Younger Lagoon Reserve	Coastal Marine	41	41G4	2022-05-03	Grass	"36¼57'7.41""N"	"122¼4'1.86""W"	12	"Briza maxima, Avena barbta, Bromus diandrus, Stipa pulchra"		5.08	Poaceae	Grass
Younger Lagoon Reserve	Coastal Marine	41	41D1	2022-05-03	Dominant Vegetation	"36¼57'7.23""N"	"122¼3'56.8""W"	14	Baccharis pilularis	Coyote Brush	6.31	Asteraceae	Shrub
Younger Lagoon Reserve	Coastal Marine	41	41D2	2022-05-03	Dominant Vegetation	"36¼57'7.23""N"	"122¼3'56.8""W"	14	Baccharis pilularis	Coyote Brush	6.39	Asteraceae	Shrub
Younger Lagoon Reserve	Coastal Marine	41	41D3	2022-05-03	Dominant Vegetation	"36¼57'7.23""N"	"122¼3'56.8""W"	14	Baccharis pilularis	Coyote Brush	5.79	Asteraceae	Shrub
Younger Lagoon Reserve	Coastal Marine	41	41D4	2022-05-03	Dominant Vegetation	"36¼57'7.23""N"	"122¼3'56.8""W"	14	Baccharis pilularis	Coyote Brush	6.02	Asteraceae	Shrub
Blue Oak Ranch Reserve	Oak Woodland	02	02G1	2022-05-04	Grass	"37¼22'58.84""N"	"121¼44'13.96""W"	605	"Avena barbata, Stipa pulchra, Agrostis exarata"		5.14	Poaceae	Grass
Blue Oak Ranch Reserve	Oak Woodland	02	02G2	2022-05-04	Grass	"37¼22'58.84""N"	"121¼44'13.96""W"	605	"Avena barbata, Stipa pulchra, Agrostis exarata"		5.86	Poaceae	Grass
Blue Oak Ranch Reserve	Oak Woodland	02	02G3	2022-05-04	Grass	"37¼22'58.84""N"	"121¼44'13.96""W"	605	"Avena barbata, Stipa pulchra, Agrostis exarata"		5.01	Poaceae	Grass
Blue Oak Ranch Reserve	Oak Woodland	02	02G4	2022-05-04	Grass	"37¼22'58.84""N"	"121¼44'13.96""W"	605	"Avena barbata, Stipa pulchra, Agrostis exarata"		5.44	Poaceae	Grass
Blue Oak Ranch Reserve	Oak Woodland	02	02D1	2022-05-04	Dominant Vegetation	"37¼23'0.95""N"	"121¼44'13.25""W"	627	Quercus douglasii	Blue oak	4.67	Fagaceae	Tree
Blue Oak Ranch Reserve	Oak Woodland	02	02D2	2022-05-04	Dominant Vegetation	"37¼23'0.95""N"	"121¼44'13.25""W"	627	Quercus douglasii	Blue oak	4.82	Fagaceae	Tree
Blue Oak Ranch Reserve	Oak Woodland	02	02D3	2022-05-04	Dominant Vegetation	"37¼23'0.95""N"	"121¼44'13.25""W"	627	Quercus douglasii	Blue oak	5.97	Fagaceae	Tree
Blue Oak Ranch Reserve	Oak Woodland	02	02D4	2022-05-04	Dominant Vegetation	"37¼23'0.95""N"	"121¼44'13.25""W"	627	Quercus douglasii	Blue oak	5.12	Fagaceae	Tree
Jepson Prairie Reserve	Grassland	09	09G1	2022-06-03	Grass	"38¼16'31""N"	"121¼49'25""W"	8	"Avena barbata, Bromus carinatus, Festuca arundinaca, Bromus diandrus"		5.66	Poaceae	Grass
Jepson Prairie Reserve	Grassland	09	09G2	2022-06-03	Grass	"38¼16'31""N"	"121¼49'25""W"	8	"Avena barbata, Bromus carinatus, Festuca arundinaca, Bromus diandrus"		5.88	Poaceae	Grass
Jepson Prairie Reserve	Grassland	09	09G3	2022-06-03	Grass	"38¼16'31""N"	"121¼49'25""W"	8	"Avena barbata, Bromus carinatus, Festuca arundinaca, Bromus diandrus"		5.78	Poaceae	Grass
Jepson Prairie Reserve	Grassland	09	09G4	2022-06-03	Grass	"38¼16'31""N"	"121¼49'25""W"	8	"Avena barbata, Bromus carinatus, Festuca arundinaca, Bromus diandrus"		5.58	Poaceae	Grass
Jepson Prairie Reserve	Grassland	09	09D1	2022-06-03	Dominant Vegetation	"38¼16'26""N"	"121¼49'27""W"	7	Lasthenia californica		5.65	Asteraceae	Annual herb
Jepson Prairie Reserve	Grassland	09	09D2	2022-06-03	Dominant Vegetation	"38¼16'26""N"	"121¼49'27""W"	7	Lasthenia californica		5.6	Asteraceae	Annual herb
Jepson Prairie Reserve	Grassland	09	09D3	2022-06-03	Dominant Vegetation	"38¼16'26""N"	"121¼49'27""W"	7	Lasthenia californica		5.35	Asteraceae	Annual herb
Jepson Prairie Reserve	Grassland	09	09D4	2022-06-03	Dominant Vegetation	"38¼16'26""N"	"121¼49'27""W"	7	Lasthenia californica		5.41	Asteraceae	Annual herb
Quail Ridge Reserve	Oak Woodland	12	12G1	2022-06-03	Grass	"38¼29'26""N"	"122¼9'10""W"	273	"Avena barbata, Alopecurus bratenis, Schismus barbatus, Brachypodium distachyon, Bromus hordeaceus"		5.97	Poaceae	Grass
Quail Ridge Reserve	Oak Woodland	12	12G2	2022-06-03	Grass	"38¼29'26""N"	"122¼9'10""W"	273	"Avena barbata, Alopecurus bratenis, Schismus barbatus, Brachypodium distachyon, Bromus hordeaceus"		5.72	Poaceae	Grass
Quail Ridge Reserve	Oak Woodland	12	12G3	2022-06-03	Grass	"38¼29'26""N"	"122¼9'10""W"	273	"Avena barbata, Alopecurus bratenis, Schismus barbatus, Brachypodium distachyon, Bromus hordeaceus"		5.45	Poaceae	Grass
Quail Ridge Reserve	Oak Woodland	12	12G4	2022-06-03	Grass	"38¼29'26""N"	"122¼9'10""W"	273	"Avena barbata, Alopecurus bratenis, Schismus barbatus, Brachypodium distachyon, Bromus hordeaceus"		5.65	Poaceae	Grass
Quail Ridge Reserve	Oak Woodland	12	12D1	2022-06-03	Dominant Vegetation	"38¼29'37""N"	"122¼09'04""W"	171	"Quercus douglasii, Quercus kelloggii"		4.43	Fagaceae	Tree
Quail Ridge Reserve	Oak Woodland	12	12D2	2022-06-03	Dominant Vegetation	"38¼29'37""N"	"122¼09'04""W"	171	"Quercus douglasii, Quercus kelloggii"		5.07	Fagaceae	Tree
