batch	code	account	farmname	desc_1	Sampled	Arrived	Completed	Cutting	CropYear	drymatter	moisture	CP	ADJ_CP	ADJ_CP_CP	SP	SP_CP	NH3CPE	NH3CPE_CP	ADICP	ADICP_CP	NDICP	NDICP_CP	RDP	RDP_CP	RDPsg	RDPsg_CP	ADF	ADF_NDF	NDF	aNDFom	Lignin	Lignin_ndf	ESC	ESC_NFC	Starch	Starch_NFC	Sol_fiber	Sol_fiber_NFC	StarchD	StarchD_NFC	TFA	Fat_EE	AHFAT	eTDN	eDE	TDN	DEMcallb	DEMcalkg	DEMJkg	NELMcallb	NELMcalkg	NELMJkg	NELNASEMMcallb	NELNASEMMcalkg	NELNASEMMJkg	NEMMcallb	NEMMcalkg	NEMMJkg	NEGMcallb	NEGMcalkg	NEGMJkg	kdVanAmburgh	NDFDigRateKD_uNDF	kdMertens	kdStarchMertens	RFV	RFQ	MilkTonH	DOMI	ROM	NFC	NSC	DCAD	SummativeIndex	Ash	Ca	P	Mg	K	S	ME	WaterSolubleCHOSugar_DM	NSC_WSC	Beef_per_Ton
36055	11	13392	JENNIFER MARTINY LAB	#11 24D2		9/24/24	11/4/24		2024	88	12.1	8.9	6.5	73	2.6	29.6			2.41	27	4.86	54.4	5.8	64.8			53.7	76.1	70.5	62.7	9.31	13.21			1.8	9.4						1.7				50.8				0.51						0.44			0.19				5.7			62					19.4				4.38	0.96	0.28	0.22	0.85	0.08	0.82	3.3	5.1	
36055	12	13392	JENNIFER MARTINY LAB	#12 23G1		9/24/24	11/4/24		2024	86.9	13.1	10.3	7.1	68.9	1.9	18			3.22	31.4	5.98	58.3	6.1	59			54.4	73.7	73.9	55.6	9.05	12.25			2.6	22.7						1.69				45.6				0.45						0.34			0.09				4.9			59					11.6				8.56	0.7	0.55	0.25	1.52	0.07	0.72	0	2.6	
36055	13	13392	JENNIFER MARTINY LAB	#13 23G2		9/24/24	11/4/24		2024	88.4	11.6	8.8	7.7	87.5	5.3	60.4			1.72	19.5	3.55	40.3	7.1	80.2			56.4	71.7	78.7	71.1	9.24	11.74										1.21				50.7				0.51						0.44			0.19				5.5			53					13.3				1.53	0.91	0.21	0.22		0.08	0.82	10.3		
36055	14	13392	JENNIFER MARTINY LAB	#14 23D1		9/24/24	11/4/24		2024	90.1	10	8.2	4.3	52.4			3.07	37.6	3.89	47.6	4.43	54.3					37.9	111.9	33.8	25.4	11.9	35.17	12.4	28.4	6.6	15.2						7.01				60.1				0.61						0.62			0.36				4.6			164				43.5	43.6	19			11.25	2.02	0.22	0.84		0.43	1.01	18	24.6	
36055	15	13392	JENNIFER MARTINY LAB	#15 23D2		9/24/24	11/4/24		2024	88.7	11.3	9.5	5.2	54.7	0.9	9.4	4.32	45.6	4.25	44.9	4.85	51.2	5.2	54.7			41.8	130.2	32.1	24.1	13.47	41.92	12.7	29.4	6.7	15.6						6.33				57				0.58						0.56			0.3				4.5			163				43.11	43.1	19.4			13.02	2	0.27	0.85		0.44	0.95	18.5	25.2	
36055	16	13392	JENNIFER MARTINY LAB	#16 25G1		9/24/24	11/4/24		2024	88.3	11.8	12.2	11	90.2	5.8	47.3			2.07	17	3.18	26.1	9	73.7			53.4	74.5	71.7	63.1	10.59	14.77										1.52				48.7				0.49						0.4			0.15				4.9			61					14				3.82	0.89	0.35	0.21	0.15	0.13	0.78	6.7		
36055	17	13392	JENNIFER MARTINY LAB	#17 25G2		9/24/24	11/4/24		2024	87.3	12.7	12.7	11.1	87.4	4.2	33.1			2.47	19.5	5.01	39.5	8.4	66.5			51.2	71.5	71.6	60.9	8.57	11.97			1.9	12.1						1.25				51				0.51						0.44			0.2				4.9			64					15.3				4.24	0.91	0.38	0.19	0.92	0.07	0.83	3.2	5.1	
36055	18	13392	JENNIFER MARTINY LAB	#18 25D1		9/24/24	11/4/24		2024	93.3	6.7	6.6	3.5	53	1.1	16.1	3.78	57.4	3.05	46.4	3.48	52.9	3.8	58.1			29.6	63.4	46.7	41.5	8.13	17.41	11	28.5	5.1	13.3						2.92				57.7				0.59						0.57			0.32				4.6			131				39.49	38.5	16.1			6.81	1.33		0.51		0.31	0.96	16	21.1	
36055	19	13392	JENNIFER MARTINY LAB	#19 25D2		9/24/24	11/4/24		2024	92.9	7.1	8.2	5.5	67.1	1.8	21.7	3.15	38.6	2.69	33	3.07	37.6	5	60.8			35.2	76.2	46.2	40.4	11.24	24.32	8.4	22.8	3.3	8.9						3.78				55.7				0.56						0.54			0.28				4.6			124				39.44	36.9	11.7			6.9	1.6		0.52		0.32	0.92	12.2	15.5	
36055	20	13392	JENNIFER MARTINY LAB	#20 16G1		9/24/24	11/4/24		2024	89.9	10.1	6.2	4.8	77.4	2	31.9	0.4	6.4	1.36	21.9	4.57	73.6	4.1	65.9			60.4	86.4	70	59.4	6.78	9.69			0.1	0.5						1.25				49.5				0.5						0.41			0.17				5.1			56				23.39	17.2				9.92	0.86	0.22	0.31	0.78	0.06	0.8	8.2	8.3	
36055	21	13392	JENNIFER MARTINY LAB	#21 16G2		9/24/24	11/4/24		2024	90.3	9.8	7.3	6.5	89	3.4	47	0.17	2.3	1.29	17.8	3.91	53.9	5.3	73.5			60.8	87.2	69.8	60.1	8.37	12	1.6	9.5								1.7				49.2				0.49						0.41			0.16				5.1			55					16.9				8.33	1.09	0.19	0.39		0.17	0.79	13.8		
36055	22	13392	JENNIFER MARTINY LAB	#22 16D1		9/24/24	11/4/24		2024	93.7	6.3	8.2	4.8	58.5			3.2	39.2	3.44	42.2	6.21	76.1					22.6	46.6	48.4	44.7	6.08	12.56	5.4	14.5	2.1	5.6						5.48				64.1				0.66						0.69			0.42				5.1			137				34.62	37.2	7.5			6.95	1.9	0.15	0.59	0.28	0.58	1.09	12.1	14.2	
36055	23	13392	JENNIFER MARTINY LAB	#23 16D2		9/24/24	11/4/24		2024	93.5	6.5	11.2	8.3	74.1			3.02	26.9	2.92	26	7.16	63.8					26.5	53.2	49.8	49.1	8.25	16.57	1.8	4.8	2.9	7.9						4.41				62				0.64						0.65			0.39				5.1			128				29.3	36.7	4.7			5.02	1.64	0.11	0.45		0.47	1.05	11.6	14.5	
36055	24	13392	JENNIFER MARTINY LAB	#24 26G1		9/24/24	11/4/24		2024	90.9	9.1	2.9	2	69	1.1	36.8	1.53	53.1	0.94	32.6	3.53	122.6	2	68.4			59.1	73	81	78.8	6.68	8.24	0.9	5.8	1.3	8.8						1.06				52.7				0.53						0.48			0.23				4.7			49				13.47	15.1	2.2			3.45	0.4	0.16	0.08	0.27		0.86	7.9	9.2	
36055	25	13392	JENNIFER MARTINY LAB	#25 26G2		9/24/24	11/4/24		2024	89.8	10.2	1.9	0.5	26.3			0.05	2.6	1.38	72.3	5.09	266.5					59.1	74.4	79.5	73.4	3.21	4.04			3	18.9						0.96				56.2				0.57						0.55			0.29				5.1			50				14.04	16				6.73	0.27	0.32	0.04	2.44		0.93	2.3	5.3	
36055	26	13392	JENNIFER MARTINY LAB	#26 26D1		9/24/24	11/4/24		2024	93.8	6.2	7.7	4.1	53.2			2.56	33.4	3.57	46.5	6.2	80.8					30.8	53.7	57.3	55.3	10.76	18.78	3.5	11.1	0.2	0.6						5.93				58.6				0.6						0.59			0.33				4.8			105				28.4	31.2	3.7			4.11	1.8	0.17	0.61		0.52	0.98	9.9	10.1	
36055	27	13392	JENNIFER MARTINY LAB	#27 26D2		9/24/24	11/4/24		2024	94.2	5.8	8.6	5.3	61.6			2.42	28.1	3.31	38.4	7.34	85.2					18	33.9	53	52.2	5.64	10.64	4.7	12.8	1.5	4.2						5.97				68.4				0.71						0.77			0.49				5.4			132				30.49	36.9	6.2			2.79	1.66	0.17	0.46	0.19	0.59	1.18	16.9	18.4	
36055	28	13392	JENNIFER MARTINY LAB	#28 32G1		9/24/24	11/4/24		2024	88.3	11.7	7	4.3	61.4	1	13.8			2.69	38.3	6.23	88.6	4	56.9			58	75.3	77.1	65.5	9.64	12.51			1.3	8.5						0.9				45.5				0.45						0.33			0.09				4.7			53					14.8				6.44	0.75	0.22	0.18	1.27	0.04	0.71	1.2	2.5	
36055	29	13392	JENNIFER MARTINY LAB	#29 32G2		9/24/24	11/4/24		2024	88.7	11.3	7.6	5	65.8	1.9	25.5	0.31	4.1	2.64	34.8	6	79.2	4.8	62.7			60.3	79.9	75.4	63.5	10.96	14.53			1	6.9						0.75				43.1				0.42						0.29			0.05				4.6			52				20.05	14.9				7.3	0.73	0.17	0.18	0.23	0.06	0.67	3.2	4.2	
36055	30	13392	JENNIFER MARTINY LAB	#30 32D1		9/24/24	11/4/24		2024	89.5	10.5	15.3	11.8	77.1	4.7	30.7			3.46	22.6	7.02	45.9	10	65.4			46	99.6	46.2	37.1	14.55	31.51			3.1	9.1						5.74				58.1				0.59						0.58			0.32				4.7			107					34.6				5.26	2.25	0.18	0.66		0.33	0.97	0	3.1	
36055	31	13392	JENNIFER MARTINY LAB	#31 32D2		9/24/24	11/4/24		2024	88.5	11.5	18.2	13.9	76.4	5.5	30.2	0.38	2.1	4.27	23.5	7.85	43.3	11.8	65.1			42	104.5	40.2	30.6	14.53	36.19			5.9	15.3						6.2				61.6				0.63						0.65			0.38				4.4			130				34.49	38.5				4.85	2.47	0.26	0.63		0.4	1.04	0	5.9	
36055	32	13392	JENNIFER MARTINY LAB	#32 33G1		9/24/24	11/4/24		2024	88.8	11.2	5.8	3.5	60.3	0.6	9.6			2.31	39.6	4.41	75.6	3.2	54.8			50.7	72	70.3	62.8	8.47	12.05			1.5	7.8						2.04				49.2				0.49						0.41			0.16				5			65					18.5				7.7	0.74	0.28	0.22	1.76	0.04	0.79	1.9	3.4	
36055	33	13392	JENNIFER MARTINY LAB	#33 33D1		9/24/24	11/4/24		2024	91.8	8.2	1.9	-0.9				0.8	43.2	2.78	150.3	3.17	171.3					44.7	92.1	48.6	43.7	16.67	34.34	0.1	0.2	2.2	5.3						6.32				57.1				0.58						0.56			0.3				4.1			104				43.24	40.8	2.3			3.15	1.52	0.13	0.5	0.1	0.21	0.95	0.1	2.3	
36055	34	0000-   	JENNIFER MARTINY LAB	SKIP		9/24/24	11/4/24		2024	100	0																																																																									
36055	35	13392	JENNIFER MARTINY LAB	#35 35G1		9/24/24	11/4/24		2024	88.5	11.5	5.5	2.6	47.3					2.9	52.3	5.59	100.9					57.9	81.4	71.1	62.2	8.19	11.51			4	24.3						0.77				43.9				0.43						0.3			0.06				3.5			57					16.6				11.58	0.38	0.33		2.86		0.68	0	4	
36055	36	13392	JENNIFER MARTINY LAB	#36 35G2		9/24/24	11/4/24		2024	89.1	11	4.6	2.2	47.8	1.3	27.8			2.39	51.8	3.82	82.9	2.9	63.9			57.1	72.7	78.5	73.2	10.43	13.28			0.7	5.6						1.22				42.6				0.42						0.27			0.03				4.6			53					11.6				7.9	0.22	0.21	0.09	0.46		0.66	3.5	4.2	
36055	37	13392	JENNIFER MARTINY LAB	#37 35D1		9/24/24	11/4/24		2024	91.4	8.6	7.2	4.5	62.5			2.57	35.8	2.74	38.2	3.97	55.4					41.5	88.6	46.8	44.2	12.87	27.48	3.3	8.6	4.3	11.4						4.94				55.9				0.57						0.54			0.28				4.3			113				33.79	37.8	7.6			7.21	1.33	0.14	0.4		0.21	0.92	4.8	9.1	
36055	38	0000-   	JENNIFER MARTINY LAB	SKIP		9/24/24	11/4/24		2024	100	0																																																																									
36055	39	13392	JENNIFER MARTINY LAB	#39 40D1		9/24/24	11/4/24		2024	90.5	9.5	14.4	10.1	70.1	6.2	43.1	3.9	27.2	4.33	30.2	4.36	30.4	10.3	71.6			48.6	114.1	42.6	32	17.97	42.17			4.9	25						6.97				41.5				0.41						0.25			0.01							112				23.26	19.5				20.97	1.62	0.37	0.81		0.36	0.63	0	4.9	
36055	40	0000-   	JENNIFER MARTINY LAB	SKIP		9/24/24	11/4/24		2024	100	0																																																																									
36055	41	13392	JENNIFER MARTINY LAB	#41 39G1		9/24/24	11/4/24		2024	89.1	10.9	7.6	5.1	67.1	1.3	17.6			2.48	32.8	7.48	98.9	4.4	58.8			51	67	76.1	65.7	9.05	11.89			0.9	4.8						2.36				51.8				0.52						0.46			0.21				5			60					17.9				3.56	0.9	0.24	0.25	0.76	0.1	0.84	2.2	3.1	
36055	42	13392	JENNIFER MARTINY LAB	#42 39G2		9/24/24	11/4/24		2024	88.6	11.4	10.4	7.5	72.1	2.9	27.4			2.91	28	7.9	75.9	6.6	63.7			48.4	68.3	70.9	59.3	10.73	15.14			1.5	7						3.02				52.4				0.53						0.47			0.22				4.9			67					20.6				2.97	1.16	0.22	0.29		0.18	0.85	0	1.5	
36055	43	13392	JENNIFER MARTINY LAB	#43 39D1		9/24/24	11/4/24		2024	90.6	9.4	6.4	2.8	43.8			0.25	3.9	3.64	57.1	4.15	65.1					36.1	103.2	35	27.6	13.8	39.45	14.5	33	7	15.9						10.1				66.3				0.68						0.73			0.46				4.9			162				43.01	43.9	21.5			6.05	1.55	0.35	0.62		0.28	1.14	21.1	28.1	
36055	44	0000-   	JENNIFER MARTINY LAB	SKIP		9/24/24	11/4/24		2024	100	0																																																																									
36055	45	13392	JENNIFER MARTINY LAB	#45 04G1		9/24/24	11/4/24		2024	86.7	13.3	9.9	7	70.7	3.2	32.7			2.94	29.8	4.52	45.7	6.6	66.3			58.2	89.1	65.4	50.1	11.94	18.27			1.7	8.4						1.8				46				0.46						0.35			0.1				4.7			62					20.4				7.1	1.32	0.41	0.31	0.93	0.08	0.73	0	1.7	
36055	46	13392	JENNIFER MARTINY LAB	#46 04G2		9/24/24	11/4/24		2024	88.1	12	8.1	5.4	66.7	1.5	18			2.66	32.8	5.04	62.2	4.8	59			57.8	83.9	68.9	56.6	11.38	16.51			2	10.4						1.5				45.4				0.45						0.33			0.09				4.5			59					19.2				7.28	1.03	0.25	0.2	1	0.07	0.71	1.2	3.2	
36055	47	13392	JENNIFER MARTINY LAB	#47 04D1		9/24/24	11/4/24		2024	88	12	10.2	6.2	60.8	1.2	12.1	3.34	32.7	4	39.1	5.22	51.1	5.7	56.1			43.8	100.3	43.6	32.7	14.3	32.78	3.4	10.1	6.3	19.1						4.63				48.7				0.49						0.4			0.15				4.3			117				34.68	33.1	9.7			13.63	1.61	0.32	0.62		0.31	0.78	4.9	11.2	
36055	48	0000-   	JENNIFER MARTINY LAB	SKIP		9/24/24	11/4/24		2024	100	0																																																																									
36055	49	13392	JENNIFER MARTINY LAB	#49 41G1		9/24/24	11/4/24		2024	89.6	10.4	4	2.3	57.5			0.5	12.4	1.7	42.2	4.2	104.2					48.5	64.3	75.3	71.9	6.34	8.42			2.3	14.1						1.86				52.4				0.53						0.47			0.22				4.9			63				13.7	16.4				6.56	0.42	0.19	0.12	1.11	0.02	0.85	4.2	6.5	
36055	50	13392	JENNIFER MARTINY LAB	#50 41G2		9/24/24	11/4/24		2024	90	10	7.4	5.4	73	2.7	35.9	1.17	15.7	1.97	26.5	4.96	66.8	5.1	68			49.4	68.9	71.7	66.4	10.27	14.33			0.9	4.9						2.23				49.7				0.5						0.42			0.17				4.8			66				18.9	18.7				4.92	0.72	0.1	0.22		0.14	0.8	5.6	6.5	
36055	51	13392	JENNIFER MARTINY LAB	#51 41D1		9/24/24	11/4/24		2024	91.2	8.8	18.6	16.4	88.2	3.6	19.2	1.02	5.5	3.54	19	6.66	35.7	11.1	59.6			35	89.2	39.2	34.5	13.2	33.66	2.8	9.1	5	16.1						6.39				56.6				0.57						0.55			0.3				4.2			146				24.42	30.7	7.8			11.74	1.53	0.31	0.59		0.4	0.94	4.1	9.1	
36055	52	0000-   	JENNIFER MARTINY LAB	SKIP		9/24/24	11/4/24		2024	100	0																																																																									
36055	53	13392	JENNIFER MARTINY LAB	#53 02G1		9/24/24	11/4/24		2024	87.9	12.1	10.5	7.2	68.6	3.2	30.3			3.32	31.7	6.87	65.6	6.8	65.2			59.3	86.6	68.5	51.4	12.53	18.28			2.8	17.3						2.02				42.7				0.42						0.28			0.04				4.4			58					16.4				9.4	1.1	0.34	0.33	0.39	0.12	0.66	0	2.8	
36055	54	13392	JENNIFER MARTINY LAB	#54 02G2		9/24/24	11/4/24		2024	88	12	8.4	5.9	70.2	2.9	34.5			2.45	29.3	5.34	64	5.6	67.2			57.9	84.3	68.7	54.5	9.39	13.66			1.4	8.2						2.49				47.9				0.48						0.38			0.14				4.8			59					16.8				8.97	1.23	0.2	0.3	0.41	0.08	0.76	2.6	4	
36055	55	13392	JENNIFER MARTINY LAB	#55 02D1		9/24/24	11/4/24		2024	90.4	9.6	9.2	6.4	69.6			2.89	31.4	2.75	29.9	3.21	34.9					36.8	95.1	38.7	35.3	10.9	28.16	13.9	34.3	6.2	15.3						5.35				59				0.6						0.6			0.34				4.9			145				36.39	40.5	20.1			9.41	1.27	0.3	0.48		0.27	0.99	20.3	26.5	
36055	56	13392	JENNIFER MARTINY LAB	#56 02D2		9/24/24	11/4/24		2024	100	0																																																																									
36055	57	13392	JENNIFER MARTINY LAB	#57 09G1		9/24/24	11/4/24		2024	90.6	9.4	3.8	2.9	76.3	1	25	2.11	55.5	0.85	22.4	2.59	68.2	2.4	62.5			45.1	64.2	70.2	69.2	5.02	7.15			4.1	20.1						1.55				55.6				0.56						0.53			0.28				5.8			71				15.87	20.2				6.83	0.42	0.2	0.12	1.76	0.07	0.92	6.4	10.5	
36055	58	13392	JENNIFER MARTINY LAB	#58 09G2		9/24/24	11/4/24		2024	90.7	9.3	4	2.8	70	0.5	12.4	1.9	47	1.17	29	3.81	94.3	2.3	56.2			46.1	61.5	74.9	73.3	4.67	6.23			3.9	24						1.81				55.5				0.56						0.53			0.28				5.8			66				11.58	16.4				6.63	0.36	0.17	0.12	1.82	0.04	0.92	1.9	5.8	
36055	59	13392	JENNIFER MARTINY LAB	#59 09D1		9/24/24	11/4/24		2024	90.4	9.6	7.3	5.8	79.5	1	13.4	2.48	33.9	1.53	20.9	3.14	43	4.1	56.7			40	74.4	53.8	52.1	7.7	14.31			5.3	17.9						2.62				54.2				0.55						0.51			0.25				5			100				24.25	29.4				10.02	1.25	0.25	0.28	2.71	0.11	0.89	0	5.3	
36055	60	13392	JENNIFER MARTINY LAB	#60 09D2		9/24/24	11/4/24		2024	90.5	9.5	8.6	8.6		3.2	37.7	2.91	33.9	1.16	13.5	1.73	20.1	5.9	68.9			39.9	78.5	50.8	50	9.29	18.29			2.8	9.5						3.1				53.7				0.54						0.5			0.24				5.2			106				27.32	29.2				10.04	1.45	0.2	0.33	1.56	0.19	0.88	2.2	5	
36055	61	13392	JENNIFER MARTINY LAB	#61 12G1		9/24/24	11/4/24		2024	90.9	9.1	5.7	5.3	93	3	53.3	1.85	32.7	0.79	14	2.3	40.7	4.3	76.6			45.8	62	73.9	72.8	6.43	8.71	0.4	2.3	3.7	20.8						1.56				55.3				0.56						0.53			0.27				4.6			67				13.76	17.6	4.1			3.66	0.35	0.12	0.08	0.19	0.08	0.91	9.9	13.6	
36055	62	13392	JENNIFER MARTINY LAB	#62 12G2		9/24/24	11/4/24		2024	91.7	8.4	4.2	3.8	90.5	2.1	49.2	1.66	39.2	0.71	16.8	2.3	54.4	3.2	74.6			43.6	61.1	71.3	70.3	5.45	7.64	2.7	12.6	3	14.3						2.07				58.5				0.6						0.59			0.33				4.6			72				18	21.2	5.7			3.49	0.37	0.14	0.08	0.74	0.07	0.98	10	13	
36055	63	13392	JENNIFER MARTINY LAB	#63 12D1		9/24/24	11/4/24		2024	91.8	8.2	5.8	3.5	60.3			1.43	24.7	2.28	39.4	2.6	44.9					40.9	87.7	46.6	45.4	12.02	25.78	4.5	11.5	5.7	14.4						5.16				59				0.6						0.6			0.34				4.4			114				34.07	39.6	10.2			4.79	1.22	0.1	0.27	0.09	0.09	0.99	6.6	12.3	
36055	64			#64 12D2																																																																																
36055	65	13392	JENNIFER MARTINY LAB	#65 11G1		9/24/24	11/4/24		2024	88.1	11.9	5.2	3.1	59.6	2	37.4			2.05	39.3	2.89	55.4	3.6	68.7			59.2	81.3	72.7	64.9	9.99	13.74										1.01				42.1				0.41						0.26			0.02				4.8			55					13.4				10.53	0.41	0.26	0.11	0.58		0.65	4.3		
36055	66	13392	JENNIFER MARTINY LAB	#66 11G2		9/24/24	11/4/24		2024	89.5	10.5	3.9	2.2	56.4	0.6	15.1			1.69	43.1	2.42	61.7	2.3	57.5			54	74.5	72.4	68.8	8.22	11.36			1.1	7.4						1.58				46.6				0.46						0.36			0.11				4.7			60					15				9.53	0.35	0.17	0.08	0.79	0.01	0.74	4.6	5.7	
36055	67	13392	JENNIFER MARTINY LAB	#67 11D1		9/24/24	11/4/24		2024	91	9	4.1	2.8	68.3	0.4	9.6	1.88	46.1	1.28	31.4	3.14	77	2.2	54.8			45.3	66.6	67.9	66.9	6.18	9.1	0.5	1.9	3.2	13.2						1.85				56.4				0.57						0.55			0.29				4.7			74				20.19	24.4	3.7			4.96	0.54	0.12	0.13	1.34	0.07	0.93	5.9	9.1	
36055	68	13392	JENNIFER MARTINY LAB	#68 11D2		9/24/24	11/4/24		2024	91.1	8.9	5.9	4.6	78	0.6	10.9	1.37	23.3	1.25	21.3	3.7	62.9	3.3	55.4			42.8	66.2	64.7	60.6	5.79	8.95	0.5	2.1	3.7	15.5						2.57				57.1				0.58						0.56			0.3				4.9			80				21.2	23.7	4.2			6.91	0.62	0.16	0.18	1.38	0.13	0.95	6.3	10	
36055	69	13392	JENNIFER MARTINY LAB	#69 08G1		9/24/24	11/4/24		2024	89.8	10.3	8.3	6.2	74.7	1.6	18.9	0.48	5.8	2.11	25.4	6.72	80.8	4.9	59.4			43.6	59.7	73.1	66.5	6.38	8.73			3	17.1						2.28				55.1				0.56						0.52			0.27				5.1			70				15	17.8				5.23	0.59	0.22	0.18	1.09	0.1	0.91	6	9	
36055	70	13392	JENNIFER MARTINY LAB	#70 08G2		9/24/24	11/4/24		2024	90.6	9.4	6.5	5.1	78.5	3.3	50.9	1.47	22.8	1.36	21.1	4.11	63.7	4.9	75.4			46.7	63.5	73.6	69.4	7.19	9.77	0.8	5	1	6.4						1.61				51.8				0.52						0.46			0.21				5.5			66				16.28	16.3	1.8			6.15	0.45	0.15	0.19	0.24	0.09	0.84	13.9	14.9	
36055	71	13392	JENNIFER MARTINY LAB	#71 08D1		9/24/24	11/4/24		2024	89.2	10.8	9.2	6.3	68.5	2.4	26.6			2.87	31.3	5.11	55.7	5.8	63.3			57.4	97.1	59.1	48.8	15.57	26.33			0.4	1.5						4.61				49.9				0.5						0.42			0.18				4.6			70					26.7				5.45	1.75	0.15	0.49		0.09	0.8	2.8	3.2	
