Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
EMR-DV,-117.0436,33.4691,479,January,87.27,6.2,12.6,18.9
EMR-DV,-117.0436,33.4691,479,February,98.75,5.8,12.4,18.9
EMR-DV,-117.0436,33.4691,479,March,64.03,7.1,13.8,20.5
EMR-DV,-117.0436,33.4691,479,April,27.68,8.2,15.4,22.7
EMR-DV,-117.0436,33.4691,479,May,10.86,10.5,18,25.5
EMR-DV,-117.0436,33.4691,479,June,2.41,12.4,21.3,30.1
EMR-DV,-117.0436,33.4691,479,July,2.98,15.2,24.8,34.4
EMR-DV,-117.0436,33.4691,479,August,2.26,15.8,25.5,35.1
EMR-DV,-117.0436,33.4691,479,September,4.96,15,23.6,32.2
EMR-DV,-117.0436,33.4691,479,October,17.21,12.2,19.8,27.5
EMR-DV,-117.0436,33.4691,479,November,28.43,8.5,15.7,22.9
EMR-DV,-117.0436,33.4691,479,December,61.87,5.8,12.2,18.6
EMR-DV,-117.0436,33.4691,479,Annual,408.71,10.2,17.9,25.6
,,,,,,,,
MOT-G,-117.2604,33.8024,547,January,58.11,5,11.8,18.6
MOT-G,-117.2604,33.8024,547,February,71.96,5.6,12.1,18.7
MOT-G,-117.2604,33.8024,547,March,37.59,6.7,13.7,20.6
MOT-G,-117.2604,33.8024,547,April,16.11,7.9,15.5,23.1
MOT-G,-117.2604,33.8024,547,May,7.35,10.6,18.2,25.9
MOT-G,-117.2604,33.8024,547,June,1.19,13.1,21.7,30.2
MOT-G,-117.2604,33.8024,547,July,3.23,16.3,25.2,34.1
MOT-G,-117.2604,33.8024,547,August,2.12,17,26,35
MOT-G,-117.2604,33.8024,547,September,2.63,15.5,24.1,32.8
MOT-G,-117.2604,33.8024,547,October,10.73,11.8,19.8,27.7
MOT-G,-117.2604,33.8024,547,November,16.33,7.5,15.1,22.8
MOT-G,-117.2604,33.8024,547,December,42.71,4.7,11.5,18.3
MOT-G,-117.2604,33.8024,547,Annual,270.08,10.1,17.9,25.6
,,,,,,,,
MOT-DV,-117.2596,33.8014,547,January,58.11,5,11.8,18.6
MOT-DV,-117.2596,33.8014,547,February,71.96,5.6,12.1,18.7
MOT-DV,-117.2596,33.8014,547,March,37.59,6.7,13.7,20.6
MOT-DV,-117.2596,33.8014,547,April,16.11,7.9,15.5,23.1
MOT-DV,-117.2596,33.8014,547,May,7.35,10.6,18.2,25.9
MOT-DV,-117.2596,33.8014,547,June,1.19,13.1,21.7,30.2
MOT-DV,-117.2596,33.8014,547,July,3.23,16.3,25.2,34.1
MOT-DV,-117.2596,33.8014,547,August,2.12,17,26,35
MOT-DV,-117.2596,33.8014,547,September,2.63,15.5,24.1,32.8
MOT-DV,-117.2596,33.8014,547,October,10.73,11.8,19.8,27.7
MOT-DV,-117.2596,33.8014,547,November,16.33,7.5,15.1,22.8
MOT-DV,-117.2596,33.8014,547,December,42.71,4.7,11.5,18.3
MOT-DV,-117.2596,33.8014,547,Annual,270.08,10.1,17.9,25.6
,,,,,,,,
AZBR-G,-116.3898,33.24,232,January,23.4,6.9,13.8,20.6
AZBR-G,-116.3898,33.24,232,February,27.42,7.8,14.7,21.5
AZBR-G,-116.3898,33.24,232,March,14.71,10.1,17.4,24.8
AZBR-G,-116.3898,33.24,232,April,3.47,12,20.6,29.2
AZBR-G,-116.3898,33.24,232,May,0.97,15.6,24.6,33.6
AZBR-G,-116.3898,33.24,232,June,0.28,19.2,29.1,38.9
AZBR-G,-116.3898,33.24,232,July,4.03,23.3,32.5,41.6
AZBR-G,-116.3898,33.24,232,August,7.92,24.2,32.7,41.2
AZBR-G,-116.3898,33.24,232,September,5.25,20.9,29.6,38.3
AZBR-G,-116.3898,33.24,232,October,4.47,15.4,23.8,32.1
AZBR-G,-116.3898,33.24,232,November,4.96,9.3,17.1,25
AZBR-G,-116.3898,33.24,232,December,16.32,6.5,13.2,19.9
AZBR-G,-116.3898,33.24,232,Annual,113.2,14.3,22.4,30.6
,,,,,,,,
AZBR-DV,-116.3909,33.2398,232,January,23.4,6.9,13.8,20.6
AZBR-DV,-116.3909,33.2398,232,February,27.42,7.8,14.7,21.5
AZBR-DV,-116.3909,33.2398,232,March,14.71,10.1,17.4,24.8
AZBR-DV,-116.3909,33.2398,232,April,3.47,12,20.6,29.2
AZBR-DV,-116.3909,33.2398,232,May,0.97,15.6,24.6,33.6
AZBR-DV,-116.3909,33.2398,232,June,0.28,19.2,29.1,38.9
AZBR-DV,-116.3909,33.2398,232,July,4.03,23.3,32.5,41.6
AZBR-DV,-116.3909,33.2398,232,August,7.92,24.2,32.7,41.2
AZBR-DV,-116.3909,33.2398,232,September,5.25,20.9,29.6,38.3
AZBR-DV,-116.3909,33.2398,232,October,4.47,15.4,23.8,32.1
AZBR-DV,-116.3909,33.2398,232,November,4.96,9.3,17.1,25
AZBR-DV,-116.3909,33.2398,232,December,16.32,6.5,13.2,19.9
AZBR-DV,-116.3909,33.2398,232,Annual,113.2,14.3,22.4,30.6
,,,,,,,,
MOJ-G,-115.6511,34.7829,1347,January,29.93,3.2,7.9,12.6
MOJ-G,-115.6511,34.7829,1347,February,37.99,3.5,8.3,13.2
MOJ-G,-115.6511,34.7829,1347,March,24.63,5.5,11.1,16.6
MOJ-G,-115.6511,34.7829,1347,April,10.98,8.5,14.3,20.1
MOJ-G,-115.6511,34.7829,1347,May,3.97,12.9,19.1,25.3
MOJ-G,-115.6511,34.7829,1347,June,1.01,18,24.5,31.1
MOJ-G,-115.6511,34.7829,1347,July,15.18,21.2,27.4,33.7
MOJ-G,-115.6511,34.7829,1347,August,17.53,20.4,26.8,33.1
MOJ-G,-115.6511,34.7829,1347,September,15.74,17.2,23.4,29.7
MOJ-G,-115.6511,34.7829,1347,October,12.51,11.8,17.5,23.1
MOJ-G,-115.6511,34.7829,1347,November,9.59,6,11.4,16.7
MOJ-G,-115.6511,34.7829,1347,December,26.2,2.4,7.2,12.1
MOJ-G,-115.6511,34.7829,1347,Annual,205.26,10.9,16.6,22.3
,,,,,,,,
MOJ-DV,-115.652,34.7826,1347,January,29.93,3.2,7.9,12.6
MOJ-DV,-115.652,34.7826,1347,February,37.99,3.5,8.3,13.2
MOJ-DV,-115.652,34.7826,1347,March,24.63,5.5,11.1,16.6
MOJ-DV,-115.652,34.7826,1347,April,10.98,8.5,14.3,20.1
MOJ-DV,-115.652,34.7826,1347,May,3.97,12.9,19.1,25.3
MOJ-DV,-115.652,34.7826,1347,June,1.01,18,24.5,31.1
MOJ-DV,-115.652,34.7826,1347,July,15.18,21.2,27.4,33.7
MOJ-DV,-115.652,34.7826,1347,August,17.53,20.4,26.8,33.1
MOJ-DV,-115.652,34.7826,1347,September,15.74,17.2,23.4,29.7
MOJ-DV,-115.652,34.7826,1347,October,12.51,11.8,17.5,23.1
MOJ-DV,-115.652,34.7826,1347,November,9.59,6,11.4,16.7
MOJ-DV,-115.652,34.7826,1347,December,26.2,2.4,7.2,12.1
MOJ-DV,-115.652,34.7826,1347,Annual,205.26,10.9,16.6,22.3
,,,,,,,,
COP-G,-119.8791,34.4167,7,January,115.26,6.2,11.8,17.5
COP-G,-119.8791,34.4167,7,February,112.38,6.9,12.2,17.4
COP-G,-119.8791,34.4167,7,March,91.36,8.4,13.1,17.8
COP-G,-119.8791,34.4167,7,April,27.76,9.4,14.2,19
COP-G,-119.8791,34.4167,7,May,11.84,11.1,15.4,19.6
COP-G,-119.8791,34.4167,7,June,3.52,13.1,16.8,20.5
COP-G,-119.8791,34.4167,7,July,0.81,14.5,17.9,21.2
COP-G,-119.8791,34.4167,7,August,0.41,14.6,18.4,22.3
COP-G,-119.8791,34.4167,7,September,1.74,13.9,18,22.1
COP-G,-119.8791,34.4167,7,October,19.96,11.6,16.7,21.9
COP-G,-119.8791,34.4167,7,November,35.06,8.1,14.1,20.1
COP-G,-119.8791,34.4167,7,December,75.28,5.9,11.7,17.5
COP-G,-119.8791,34.4167,7,Annual,495.39,10.3,15,19.7
,,,,,,,,
COP-DV,-119.8809,34.4169,16,January,116.35,6.3,11.9,17.5
COP-DV,-119.8809,34.4169,16,February,113.67,7,12.2,17.4
COP-DV,-119.8809,34.4169,16,March,91.41,8.4,13.1,17.9
COP-DV,-119.8809,34.4169,16,April,28.17,9.4,14.2,19.1
COP-DV,-119.8809,34.4169,16,May,11.84,11.1,15.4,19.7
COP-DV,-119.8809,34.4169,16,June,3.57,13,16.8,20.6
COP-DV,-119.8809,34.4169,16,July,0.82,14.5,17.9,21.4
COP-DV,-119.8809,34.4169,16,August,0.41,14.6,18.5,22.4
COP-DV,-119.8809,34.4169,16,September,1.76,13.9,18.1,22.3
COP-DV,-119.8809,34.4169,16,October,20.43,11.6,16.8,21.9
COP-DV,-119.8809,34.4169,16,November,35.17,8.2,14.2,20.2
COP-DV,-119.8809,34.4169,16,December,75.71,6,11.7,17.5
COP-DV,-119.8809,34.4169,16,Annual,499.3,10.3,15.1,19.8
,,,,,,,,
KNRM-G,-121.0836,35.5364,25,January,99.68,7.6,11.4,15.3
KNRM-G,-121.0836,35.5364,25,February,99.27,7.5,11.4,15.3
KNRM-G,-121.0836,35.5364,25,March,83.28,7.7,11.7,15.6
KNRM-G,-121.0836,35.5364,25,April,30.05,7.8,11.4,15
KNRM-G,-121.0836,35.5364,25,May,11.46,9.1,12.1,15
KNRM-G,-121.0836,35.5364,25,June,3.17,10.4,13.3,16.1
KNRM-G,-121.0836,35.5364,25,July,0.88,11.7,14.4,17.1
KNRM-G,-121.0836,35.5364,25,August,0.29,12.2,15,17.7
KNRM-G,-121.0836,35.5364,25,September,1.94,11.9,15.1,18.3
KNRM-G,-121.0836,35.5364,25,October,16.45,11,14.5,18.1
KNRM-G,-121.0836,35.5364,25,November,38.19,9.4,13.4,17.4
KNRM-G,-121.0836,35.5364,25,December,81.92,7.5,11.5,15.4
KNRM-G,-121.0836,35.5364,25,Annual,466.59,9.5,12.9,16.4
,,,,,,,,
KNRM-DV,-121.0839,35.5373,25,January,99.68,7.6,11.4,15.3
KNRM-DV,-121.0839,35.5373,25,February,99.27,7.5,11.4,15.3
KNRM-DV,-121.0839,35.5373,25,March,83.28,7.7,11.7,15.6
KNRM-DV,-121.0839,35.5373,25,April,30.05,7.8,11.4,15
KNRM-DV,-121.0839,35.5373,25,May,11.46,9.1,12.1,15
KNRM-DV,-121.0839,35.5373,25,June,3.17,10.4,13.3,16.1
KNRM-DV,-121.0839,35.5373,25,July,0.88,11.7,14.4,17.1
KNRM-DV,-121.0839,35.5373,25,August,0.29,12.2,15,17.7
KNRM-DV,-121.0839,35.5373,25,September,1.94,11.9,15.1,18.3
KNRM-DV,-121.0839,35.5373,25,October,16.45,11,14.5,18.1
KNRM-DV,-121.0839,35.5373,25,November,38.19,9.4,13.4,17.4
KNRM-DV,-121.0839,35.5373,25,December,81.92,7.5,11.5,15.4
KNRM-DV,-121.0839,35.5373,25,Annual,466.59,9.5,12.9,16.4
,,,,,,,,
SGWK-G,-120.0477,34.6933,373,January,123.38,6.1,12.2,18.3
SGWK-G,-120.0477,34.6933,373,February,123.63,6.9,12.6,18.4
SGWK-G,-120.0477,34.6933,373,March,101.44,6.7,13.3,19.9
SGWK-G,-120.0477,34.6933,373,April,33.77,7.1,14.5,21.9
SGWK-G,-120.0477,34.6933,373,May,13.78,8.2,16.3,24.4
SGWK-G,-120.0477,34.6933,373,June,2.26,9.8,18.8,27.8
SGWK-G,-120.0477,34.6933,373,July,0.65,12.2,21.5,30.8
SGWK-G,-120.0477,34.6933,373,August,0.26,12.6,22,31.5
SGWK-G,-120.0477,34.6933,373,September,2.18,12.3,21.4,30.5
SGWK-G,-120.0477,34.6933,373,October,22.17,10.9,19,27
SGWK-G,-120.0477,34.6933,373,November,36.79,8.4,15.4,22.4
SGWK-G,-120.0477,34.6933,373,December,83.38,5.2,11.8,18.4
SGWK-G,-120.0477,34.6933,373,Annual,543.68,8.9,16.6,24.3
,,,,,,,,
SGWK-DV,-120.048,34.6928,373,January,123.38,6.1,12.2,18.3
SGWK-DV,-120.048,34.6928,373,February,123.63,6.9,12.6,18.4
SGWK-DV,-120.048,34.6928,373,March,101.44,6.7,13.3,19.9
SGWK-DV,-120.048,34.6928,373,April,33.77,7.1,14.5,21.9
SGWK-DV,-120.048,34.6928,373,May,13.78,8.2,16.3,24.4
SGWK-DV,-120.048,34.6928,373,June,2.26,9.8,18.8,27.8
SGWK-DV,-120.048,34.6928,373,July,0.65,12.2,21.5,30.8
SGWK-DV,-120.048,34.6928,373,August,0.26,12.6,22,31.5
SGWK-DV,-120.048,34.6928,373,September,2.18,12.3,21.4,30.5
SGWK-DV,-120.048,34.6928,373,October,22.17,10.9,19,27
SGWK-DV,-120.048,34.6928,373,November,36.79,8.4,15.4,22.4
SGWK-DV,-120.048,34.6928,373,December,83.38,5.2,11.8,18.4
SGWK-DV,-120.048,34.6928,373,Annual,543.68,8.9,16.6,24.3
,,,,,,,,
BGSR-G,-121.5931,36.0712,152,January,204.97,8.6,12,15.4
BGSR-G,-121.5931,36.0712,152,February,184.93,8.5,11.9,15.3
BGSR-G,-121.5931,36.0712,152,March,137.55,8.4,12.2,15.9
BGSR-G,-121.5931,36.0712,152,April,60.3,8.3,12.5,16.6
BGSR-G,-121.5931,36.0712,152,May,24.11,9.1,13.5,17.8
BGSR-G,-121.5931,36.0712,152,June,4.51,9.8,14.7,19.5
BGSR-G,-121.5931,36.0712,152,July,1.07,10.5,15.9,21.3
BGSR-G,-121.5931,36.0712,152,August,0.56,11.3,16.6,21.9
BGSR-G,-121.5931,36.0712,152,September,2.6,11.8,16.6,21.5
BGSR-G,-121.5931,36.0712,152,October,38.13,12.1,16.4,20.7
BGSR-G,-121.5931,36.0712,152,November,83.36,10.5,14.3,18.1
BGSR-G,-121.5931,36.0712,152,December,170.96,8.7,12,15.3
BGSR-G,-121.5931,36.0712,152,Annual,913.03,9.8,14,18.3
,,,,,,,,
BGSR-DV,-121.5864,36.0577,292,January,203.52,7.5,11.9,16.2
BGSR-DV,-121.5864,36.0577,292,February,184.55,7.5,11.9,16.2
BGSR-DV,-121.5864,36.0577,292,March,137.03,7.5,12.4,17.3
BGSR-DV,-121.5864,36.0577,292,April,59.87,7.8,12.5,17.2
BGSR-DV,-121.5864,36.0577,292,May,24.02,8.3,13.4,18.6
BGSR-DV,-121.5864,36.0577,292,June,4.71,9.6,15.6,21.7
BGSR-DV,-121.5864,36.0577,292,July,1.09,10.5,17.6,24.7
BGSR-DV,-121.5864,36.0577,292,August,0.56,11.5,18.4,25.3
BGSR-DV,-121.5864,36.0577,292,September,2.65,11.5,17.5,23.4
BGSR-DV,-121.5864,36.0577,292,October,37.85,11,16.1,21.2
BGSR-DV,-121.5864,36.0577,292,November,82,9.5,14.4,19.3
BGSR-DV,-121.5864,36.0577,292,December,169.41,8.2,12,15.9
BGSR-DV,-121.5864,36.0577,292,Annual,907.25,9.2,14.5,19.7
,,,,,,,,
FORD-G,-121.7771,36.6856,41,January,81.62,6,10.9,15.7
FORD-G,-121.7771,36.6856,41,February,82.37,6.6,11.3,16
FORD-G,-121.7771,36.6856,41,March,66.82,7.2,11.6,16
FORD-G,-121.7771,36.6856,41,April,31.2,7.8,12.1,16.3
FORD-G,-121.7771,36.6856,41,May,10.91,9.5,13.2,16.9
FORD-G,-121.7771,36.6856,41,June,2.62,10.8,14.2,17.6
FORD-G,-121.7771,36.6856,41,July,0.45,12.1,15.2,18.3
FORD-G,-121.7771,36.6856,41,August,0.58,12.4,15.6,18.8
FORD-G,-121.7771,36.6856,41,September,1.39,11.8,15.6,19.4
FORD-G,-121.7771,36.6856,41,October,15.85,10,14.5,19
FORD-G,-121.7771,36.6856,41,November,38.64,7.6,12.6,17.7
FORD-G,-121.7771,36.6856,41,December,73.23,5.6,11,16.4
FORD-G,-121.7771,36.6856,41,Annual,405.68,8.9,13.1,17.3
,,,,,,,,
FORD-DV,-121.7787,36.685,41,January,81.62,6,10.9,15.7
FORD-DV,-121.7787,36.685,41,February,82.37,6.6,11.3,16
FORD-DV,-121.7787,36.685,41,March,66.82,7.2,11.6,16
FORD-DV,-121.7787,36.685,41,April,31.2,7.8,12.1,16.3
FORD-DV,-121.7787,36.685,41,May,10.91,9.5,13.2,16.9
FORD-DV,-121.7787,36.685,41,June,2.62,10.8,14.2,17.6
FORD-DV,-121.7787,36.685,41,July,0.45,12.1,15.2,18.3
FORD-DV,-121.7787,36.685,41,August,0.58,12.4,15.6,18.8
FORD-DV,-121.7787,36.685,41,September,1.39,11.8,15.6,19.4
FORD-DV,-121.7787,36.685,41,October,15.85,10,14.5,19
FORD-DV,-121.7787,36.685,41,November,38.64,7.6,12.6,17.7
FORD-DV,-121.7787,36.685,41,December,73.23,5.6,11,16.4
FORD-DV,-121.7787,36.685,41,Annual,405.68,8.9,13.1,17.3
,,,,,,,,
HAST-G,-121.5544,36.3841,537,January,112.1,3.1,9.5,15.9
HAST-G,-121.5544,36.3841,537,February,102.02,2.9,9.4,15.9
HAST-G,-121.5544,36.3841,537,March,84.56,3.5,10.3,17.2
HAST-G,-121.5544,36.3841,537,April,43.78,4,11.3,18.5
HAST-G,-121.5544,36.3841,537,May,14.58,6.1,14.1,22.1
HAST-G,-121.5544,36.3841,537,June,4.78,8.1,17.2,26.4
HAST-G,-121.5544,36.3841,537,July,1.27,10.3,20.2,30.1
HAST-G,-121.5544,36.3841,537,August,0.29,10.9,20.4,29.9
HAST-G,-121.5544,36.3841,537,September,1.6,10.1,19.4,28.8
HAST-G,-121.5544,36.3841,537,October,17.95,7.8,16.3,24.8
HAST-G,-121.5544,36.3841,537,November,40.87,4.6,11.9,19.1
HAST-G,-121.5544,36.3841,537,December,82.24,2.9,9.2,15.4
HAST-G,-121.5544,36.3841,537,Annual,506.04,6.2,14.1,22
,,,,,,,,
HAST-DV,-121.554,36.3838,570,January,113.03,3.3,9.6,15.8
HAST-DV,-121.554,36.3838,570,February,105.59,3.1,9.4,15.8
HAST-DV,-121.554,36.3838,570,March,85.35,3.7,10.3,17
HAST-DV,-121.554,36.3838,570,April,44.36,4.2,11.2,18.3
HAST-DV,-121.554,36.3838,570,May,15.09,6.3,14.1,21.8
HAST-DV,-121.554,36.3838,570,June,4.87,8.4,17.3,26.1
HAST-DV,-121.554,36.3838,570,July,1.4,10.7,20.3,29.9
HAST-DV,-121.554,36.3838,570,August,0.28,11.4,20.6,29.7
HAST-DV,-121.554,36.3838,570,September,1.55,10.6,19.6,28.6
HAST-DV,-121.554,36.3838,570,October,18.26,8.3,16.4,24.6
HAST-DV,-121.554,36.3838,570,November,41.9,4.9,11.9,18.9
HAST-DV,-121.554,36.3838,570,December,89.45,3.2,9.2,15.3
HAST-DV,-121.554,36.3838,570,Annual,521.13,6.5,14.2,21.8
,,,,,,,,
YLR-G,-122.0672,36.9521,10,January,152.06,6.1,10.2,14.3
YLR-G,-122.0672,36.9521,10,February,142.68,6.5,10.6,14.6
YLR-G,-122.0672,36.9521,10,March,110.92,7,10.9,14.8
YLR-G,-122.0672,36.9521,10,April,47.61,7.6,11.4,15.3
YLR-G,-122.0672,36.9521,10,May,19.95,9.3,12.7,16.1
YLR-G,-122.0672,36.9521,10,June,6.38,10.7,13.9,17.1
YLR-G,-122.0672,36.9521,10,July,0.53,11.9,14.9,18
YLR-G,-122.0672,36.9521,10,August,1.01,12.3,15.4,18.4
YLR-G,-122.0672,36.9521,10,September,2.42,11.7,15.1,18.6
YLR-G,-122.0672,36.9521,10,October,33.01,10.1,14,18
YLR-G,-122.0672,36.9521,10,November,72.54,7.6,12,16.4
YLR-G,-122.0672,36.9521,10,December,150.55,5.9,10.5,15
YLR-G,-122.0672,36.9521,10,Annual,739.64,8.9,12.6,16.4
,,,,,,,,
YLR-DV,-122.0658,36.952,10,January,152.06,6.1,10.2,14.3
YLR-DV,-122.0658,36.952,10,February,142.68,6.5,10.6,14.6
YLR-DV,-122.0658,36.952,10,March,110.92,7,10.9,14.8
YLR-DV,-122.0658,36.952,10,April,47.61,7.6,11.4,15.3
YLR-DV,-122.0658,36.952,10,May,19.95,9.3,12.7,16.1
YLR-DV,-122.0658,36.952,10,June,6.38,10.7,13.9,17.1
YLR-DV,-122.0658,36.952,10,July,0.53,11.9,14.9,18
YLR-DV,-122.0658,36.952,10,August,1.01,12.3,15.4,18.4
YLR-DV,-122.0658,36.952,10,September,2.42,11.7,15.1,18.6
YLR-DV,-122.0658,36.952,10,October,33.01,10.1,14,18
YLR-DV,-122.0658,36.952,10,November,72.54,7.6,12,16.4
YLR-DV,-122.0658,36.952,10,December,150.55,5.9,10.5,15
YLR-DV,-122.0658,36.952,10,Annual,739.64,8.9,12.6,16.4
,,,,,,,,
